"State Code","County Code","Site Number","Parameter Code","POC","Latitude","Longitude","Datum","Parameter Name","Duration Description","Pollutant Standard","Date (Local)","Year","Day In Year (Local)","Units of Measure","Exceptional Data Type","Nonreg Observation Count","Observation Count","Observation Percent","Nonreg Arithmetic Mean","Arithmetic Mean","Nonreg First Maximum Value","First Maximum Value","First Maximum Hour","AQI","Daily Criteria Indicator","Tribe Name","State Name","County Name","City Name","Local Site Name","Address","MSA or CBSA Name","Data Source"
"06","037","1103","68112","5","34.06659","-118.22688","WGS84","Sample Flow Rate CV - Nylon Filter","24 HOUR","","2023-05-24","2023","144","Percent","None","","1","100.0000","","0.7","","0.7","0",".","Y","","California","Los Angeles","Los Angeles","Los Angeles-North Main Street","1630 N MAIN ST, LOS ANGELES","Los Angeles-Long Beach-Anaheim, CA","AQS Data Mart"
"06","037","1103","68115","5","34.06659","-118.22688","WGS84","Sample Volume - Nylon Filter","24 HOUR","","2023-05-24","2023","144","Cubic meter","None","","1","100.0000","","9.7","","9.7","0",".","Y","","California","Los Angeles","Los Angeles","Los Angeles-North Main Street","1630 N MAIN ST, LOS ANGELES","Los Angeles-Long Beach-Anaheim, CA","AQS Data Mart"
"06","037","1103","68116","5","34.06659","-118.22688","WGS84","Sample Volume - Quartz Filter","24 HOUR","","2023-05-24","2023","144","Cubic meter","None","","1","100.0000","","31.6","","31.6","0",".","Y","","California","Los Angeles","Los Angeles","Los Angeles-North Main Street","1630 N MAIN ST, LOS ANGELES","Los Angeles-Long Beach-Anaheim, CA","AQS Data Mart"
"06","037","1103","88374","5","34.06659","-118.22688","WGS84","OC1 CSN_Rev Unadjusted PM2.5 LC","24 HOUR","","2023-05-24","2023","144","Micrograms/cubic meter (LC)","None","","1","100.0000","","0.046","","0.046","0",".","Y","","California","Los Angeles","Los Angeles","Los Angeles-North Main Street","1630 N MAIN ST, LOS ANGELES","Los Angeles-Long Beach-Anaheim, CA","AQS Data Mart"
"06","037","1103","68114","5","34.06659","-118.22688","WGS84","Sample Volume - Teflon Filter","24 HOUR","","2023-05-24","2023","144","Cubic meter","None","","1","100.0000","","9.7","","9.7","0",".","Y","","California","Los Angeles","Los Angeles","Los Angeles-North Main Street","1630 N MAIN ST, LOS ANGELES","Los Angeles-Long Beach-Anaheim, CA","AQS Data Mart"
"06","037","1103","68117","5","34.06659","-118.22688","WGS84","Average Ambient Temperature for URG3000N","24 HOUR","","2023-05-24","2023","144","Degrees Centigrade","None","","1","100.0000","","18","","18","0",".","Y","","California","Los Angeles","Los Angeles","Los Angeles-North Main Street","1630 N MAIN ST, LOS ANGELES","Los Angeles-Long Beach-Anaheim, CA","AQS Data Mart"
"06","037","1103","68111","5","34.06659","-118.22688","WGS84","Sample Flow Rate CV - Teflon Filter","24 HOUR","","2023-05-24","2023","144","Percent","None","","1","100.0000","","0.8","","0.8","0",".","Y","","California","Los Angeles","Los Angeles","Los Angeles-North Main Street","1630 N MAIN ST, LOS ANGELES","Los Angeles-Long Beach-Anaheim, CA","AQS Data Mart"
"06","037","1103","68118","5","34.06659","-118.22688","WGS84","Average Ambient Pressure for URG3000N","24 HOUR","","2023-05-24","2023","144","Millimeters (mercury)","None","","1","100.0000","","751","","751","0",".","Y","","California","Los Angeles","Los Angeles","Los Angeles-North Main Street","1630 N MAIN ST, LOS ANGELES","Los Angeles-Long Beach-Anaheim, CA","AQS Data Mart"
"06","037","1103","88381","5","34.06659","-118.22688","WGS84","EC PM2.5 LC TOT","24 HOUR","","2023-05-24","2023","144","Micrograms/cubic meter (LC)","None","","1","100.0000","","0.298","","0.298","0",".","Y","","California","Los Angeles","Los Angeles","Los Angeles-North Main Street","1630 N MAIN ST, LOS ANGELES","Los Angeles-Long Beach-Anaheim, CA","AQS Data Mart"
"06","037","1103","88382","5","34.06659","-118.22688","WGS84","OC PM2.5 LC TOT","24 HOUR","","2023-05-24","2023","144","Micrograms/cubic meter (LC)","None","","1","100.0000","","1.13686","","1.13686","0",".","Y","","California","Los Angeles","Los Angeles","Los Angeles-North Main Street","1630 N MAIN ST, LOS ANGELES","Los Angeles-Long Beach-Anaheim, CA","AQS Data Mart"
"06","037","1103","42600","9","34.06659","-118.22688","WGS84","Reactive oxides of nitrogen (NOy)","1 HOUR","","2023-05-24","2023","144","Parts per billion","None","","24","100.0000","","10.520833","","22.8","8",".","Y","","California","Los Angeles","Los Angeles","Los Angeles-North Main Street","1630 N MAIN ST, LOS ANGELES","Los Angeles-Long Beach-Anaheim, CA","AQS Data Mart"
"06","037","1103","88101","3","34.06659","-118.22688","WGS84","PM2.5 - Local Conditions","1 HOUR","","2023-05-24","2023","144","Micrograms/cubic meter (LC)","None","","20","83.0000","","8.945","","13.9","8",".","Y","","California","Los Angeles","Los Angeles","Los Angeles-North Main Street","1630 N MAIN ST, LOS ANGELES","Los Angeles-Long Beach-Anaheim, CA","AQS Data Mart"
"06","037","1103","88101","3","34.06659","-118.22688","WGS84","PM2.5 - Local Conditions","24-HR BLK AVG","PM25 24-hour 2012","2023-05-24","2023","144","Micrograms/cubic meter (LC)","None","","1","100.0000","","8.9","","8.9","0","37","Y","","California","Los Angeles","Los Angeles","Los Angeles-North Main Street","1630 N MAIN ST, LOS ANGELES","Los Angeles-Long Beach-Anaheim, CA","AQS Data Mart"
"06","037","1103","88101","3","34.06659","-118.22688","WGS84","PM2.5 - Local Conditions","24-HR BLK AVG","PM25 Annual 2012","2023-05-24","2023","144","Micrograms/cubic meter (LC)","None","","1","100.0000","","8.9","","8.9","0","37","Y","","California","Los Angeles","Los Angeles","Los Angeles-North Main Street","1630 N MAIN ST, LOS ANGELES","Los Angeles-Long Beach-Anaheim, CA","AQS Data Mart"
"06","037","1103","17212","6","34.06659","-118.22688","WGS84","Perylene (TSP) STP","24 HOUR","","2023-05-24","2023","144","Nanograms/cubic meter (25 C)","None","","1","100.0000","","0","","0","0",".","Y","","California","Los Angeles","Los Angeles","Los Angeles-North Main Street","1630 N MAIN ST, LOS ANGELES","Los Angeles-Long Beach-Anaheim, CA","AQS Data Mart"
